profile	rate_min	rate_q25	rate_median	rate_q75	rate_max	rate_sd
backbone_balanced	0.217160806834313	0.2587893931874819	0.31503137192808117	0.36441029182759427	0.4796472916371679	0.082691826466109
core_complete	0.217160806834313	0.2767368396815318	0.33173531596748274	0.37591728507768296	0.4796472916371679	0.08231931248438415
deep_robust	0.2273083183321085	0.271660232223638	0.27757838432311477	0.28980664746644885	0.3048229069230786	0.0208190131497462
diverse_rate	0.2758952950399488	0.28789622073585636	0.29978840569038256	0.3046507027946525	0.3663311474328301	0.031134707579243078
information_only	0.4092416476011486	0.45486254690015177	0.4956180511627789	0.5150360143164995	0.5203444116771815	0.03933813366886303
low_bias	0.1472615472770412	0.23608861072231901	0.283328577935847	0.34008247999396823	0.3791126642926339	0.0714614477496443
occupancy_only	0.0591104692871625	0.20756924416527656	0.22499863645459034	0.2666051511333067	0.3541674488162135	0.08203624365640709
random_matched	0.0641437004527307	0.1453197408043076	0.23794556572132347	0.326766034519797	0.4143625720998761	0.11534916123505419
