n_genes	mean_profile_score	minimum_profile_score	total_alignment_length	total_pis	minimum_taxon_occupancy	mean_trimming_stability_score	maximum_composition_variability	profile
10.0	0.7592524790236461	0.7215865751334858	8774.0	4340.0	1.0	1.0	0.0062741386623888	backbone_balanced
10.0	0.8514225781845918	0.8004767353165523	10231.0	5034.0	1.0	1.0	0.0057541479025703	core_complete
10.0	0.8599771167048056	0.833257055682685	10153.0	4132.0	1.0	1.0	0.0048219483822966	deep_robust
10.0	0.8157170099160946	0.7775171624713959	11176.0	5026.0	1.0	1.0	0.0072996241016142	diverse_rate
10.0	0.984515636918383	0.9633867276887872	9548.0	6063.0	0.8571428571428571	0.8387036194421681	0.0133404265720498	information_only
10.0	0.856140350877193	0.7997330282227307	12342.0	5275.0	0.9285714285714286	1.0	0.0035925381924847	low_bias
10.0	0.9907704042715484	0.9824561403508772	3245.0	1101.0	1.0	0.9759042508770038	0.0074753007067082	occupancy_only
10.0			4336.0	1568.0	0.7857142857142857	0.9138079018181604	0.0102962957305704	random_matched
