gene_id	retained_length_fraction	pis_retained_fraction	trimming_stability_score	exclusion_reason
EOG0926534P	0.2099009900990099	0.2941176470588235	0.0415669287516986	
EOG092654XA	0.0809523809523809	0.4390243902439024	0.0465553619821912	
EOG09263KB4	0.1988773055332798	0.3822393822393822	0.049093429120494	
EOG09263C4C	0.1122448979591836	0.4776785714285714	0.0522653592687074	
EOG092648U2	0.2393980848153215	0.4058823529411764	0.0540113429092567	
EOG09264EGS	0.1611917494270435	0.4921465968586387	0.0568848600839669	
EOG09261DRB	0.1996497373029772	0.4884169884169884	0.0590990751509578	
EOG09262IY3	0.1504102096627165	0.536144578313253	0.1205818030554304	
EOG092643JW	0.1351809954751131	0.5532994923857868	0.1217677875523501	
EOG0926587S	0.1834750911300121	0.5487804878048781	0.1273596869474162	
EOG09263U08	0.2209876543209876	0.5752688172043011	0.1373279238019381	
EOG09264HX6	0.1119505494505494	0.6850393700787402	0.1433716218165037	
EOG092651K1	0.1265344664778092	0.6981132075471698	0.1477674886121355	
EOG09262F7P	0.1081081081081081	0.7219251336898396	0.1497753769812593	
EOG09262E3Q	0.2473966550962448	0.6582446808510638	0.1564070983390738	
EOG09265CQO	0.0830367734282325	1.0	0.161071569790431	
EOG09265HPJ	0.090863704443335	0.9746835443037974	0.1621151605924446	
EOG09264ZWF	0.0932494279176201	0.9487179487179488	0.1624332570556826	
EOG09265BG5	0.0938650306748466	1.0	0.1625153374233128	
EOG09265FGA	0.1369047619047619	0.9333333333333332	0.1682539682539682	
EOG09264E6Z	0.1425520555258942	0.9802631578947368	0.1690069407367859	
EOG09265RGS	0.145852324521422	1.0	0.1694469766028562	
EOG09263W7L	0.156935817805383	0.9675324675324676	0.1709247757073844	
EOG092646VF	0.1601705237515225	0.9444444444444444	0.1713560698335363	
EOG092658WS	0.1606837606837607	0.8863636363636364	0.1714245014245014	
EOG09264T1U	0.1637426900584795	1.0	0.1718323586744639	
EOG09263IT0	0.2134292565947242	0.771551724137931	0.1731231824884919	
EOG09264UJF	0.1831298557158712	0.9791666666666666	0.1744173140954495	
EOG092640WA	0.1840796019900497	0.9913793103448276	0.1745439469320066	
EOG09264ENO	0.1910621761658031	0.9058823529411764	0.175474956822107	
EOG09264JW6	0.1915336571825121	0.9431818181818182	0.1755378209576683	
EOG09262914	0.1934291581108829	0.9779411764705882	0.1757905544147844	
EOG09260KM4	0.1956211327939076	0.9497907949790796	0.1760828177058543	
EOG09264DIM	0.2037193575655114	0.9791666666666666	0.1771625810087348	
EOG0926448Q	0.2053742802303263	0.9375	0.1773832373640435	
EOG09262SWJ	0.2062043795620438	0.928	0.1774939172749391	
EOG09265B95	0.2082111436950146	0.8615384615384616	0.1777614858260019	
EOG092643S6	0.2113870381586917	0.9425837320574164	0.1781849384211589	
EOG092610KH	0.2199578355586788	0.9948717948717948	0.1793277114078238	
EOG092620EL	0.2202609363008442	0.8633540372670807	0.1793681248401125	
EOG092644O2	0.2212230215827338	1.0	0.1794964028776978	
EOG09264B74	0.2234706616729088	0.8382352941176471	0.1797960882230545	
EOG09262A6N	0.2269779507133592	0.8641509433962264	0.1802637267617812	
EOG09263KDI	0.2281412854661262	1.0	0.1804188380621501	
EOG09261N2L	0.231638418079096	0.9486166007905138	0.1808851224105461	
EOG09264ZDZ	0.2353556485355648	0.8732394366197183	0.1813807531380753	
EOG092635SS	0.2398729150119142	0.963855421686747	0.1819830553349219	
EOG09263I4U	0.24	0.8744588744588745	0.182	
EOG09262YP5	0.2414201183431952	1.0	0.182189349112426	
EOG09263KVG	0.2443243243243243	0.9828326180257512	0.1825765765765765	
EOG092631MU	0.2458808618504436	0.9692307692307692	0.1827841149133924	
EOG0926390Q	0.2459200900393922	0.9112426035502958	0.1827893453385856	
EOG09264V51	0.2493368700265252	1.0	0.1832449160035366	
EOG09263G4R	0.3052884615384615	0.3143322475570032	0.1992848492441326	
EOG09261Q5L	0.2595846645367412	0.380281690140845	0.2118282110126145	
EOG09260W8D	0.2952453987730061	0.4171656686626746	0.2351692320879712	
EOG092630MJ	0.2552026286966046	0.4523026315789473	0.2376675211611998	
EOG09260JNY	0.2623521224773834	0.4761904761904761	0.2485319945653974	
EOG09263D2P	0.3648816936488169	0.4668989547038327	0.2723888929869551	
