profile	n_genes	mean_selection_redundancy	median_selection_redundancy	maximum_selection_redundancy	mean_profile_score	minimum_profile_score
backbone_balanced	10	0.4078243459469147	0.3873296933236734	0.937215465491457	0.7592524790236461	0.7215865751334858
core_complete	10	0.4488243234619051	0.3471427263753346	0.9266162735977714	0.8514225781845918	0.8004767353165523
deep_robust	10	0.49383310264402447	0.6078830596961261	0.9416827328385006	0.8599771167048056	0.833257055682685
diverse_rate	10	0.46297164238821176	0.420596006920383	0.9887618006176578	0.8157170099160946	0.7775171624713959
information_only	10	0.44514151340587804	0.4865958855849401	0.7997131384427363	0.984515636918383	0.9633867276887872
low_bias	10	0.4817948546146704	0.5593121234147783	0.8511936094637967	0.856140350877193	0.7997330282227307
occupancy_only	10	0.35027405809539663	0.4254489980641199	0.645473015732741	0.9907704042715485	0.9824561403508772
